model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula,structure,scaling
14,Cadence,full,Intercept,-0.0361540806634,0.0680592100363,-0.169547681151,0.0972395198241,0.595269724231,258,0.879744747021,47.0902181446,-76.1804362892,Cadence ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
14,Cadence,full,AgeGroup,0.324900740996,0.0966707207873,0.135429609894,0.514371872099,0.000776886116079,258,0.879744747021,47.0902181446,-76.1804362892,Cadence ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
14,Cadence,full,Speed,0.96118278833,0.028993727878,0.904356125911,1.01800945075,5.40555590055e-241,258,0.879744747021,47.0902181446,-76.1804362892,Cadence ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
14,Cadence,full,AgeGroup:Speed,-0.0462041338953,0.0413590450992,-0.127266372725,0.0348581049342,0.263931469823,258,0.879744747021,47.0902181446,-76.1804362892,Cadence ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
14,Cadence,full,Speed2,-0.106436039027,0.0102873838432,-0.126598940854,-0.0862731371989,4.35113762138e-25,258,0.879744747021,47.0902181446,-76.1804362892,Cadence ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
1,StepLength,omit_7_31,Intercept,0.102336814053,0.0905205929262,-0.0750802879414,0.279753916048,0.258250321619,246,0.00782910095363,-350.185315968,708.370631936,StepLength ~ AgeGroup,random_intercept_age_only_reference,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
1,StepLength,omit_7_31,AgeGroup,-0.17852973271,0.129605765206,-0.432552364702,0.0754928992826,0.168362980431,246,0.00782910095363,-350.185315968,708.370631936,StepLength ~ AgeGroup,random_intercept_age_only_reference,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
2,StepLength,omit_7_31,Intercept,-0.000152486085438,0.0478324689628,-0.0939024025442,0.0935974303733,0.997456412143,246,0.890730170681,57.8128267059,-103.625653412,StepLength ~ Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
2,StepLength,omit_7_31,Speed,0.953737703029,0.0160966519612,0.922188844913,0.985286561145,0,246,0.890730170681,57.8128267059,-103.625653412,StepLength ~ Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
3,StepLength,omit_7_31,Intercept,0.133621504056,0.058855477313,0.0182668882295,0.248976119882,0.0231874154353,246,0.907274043239,63.1224664534,-112.244932907,StepLength ~ AgeGroup + Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
3,StepLength,omit_7_31,AgeGroup,-0.274566556158,0.0810254731702,-0.433373565402,-0.115759546914,0.000702389076859,246,0.907274043239,63.1224664534,-112.244932907,StepLength ~ AgeGroup + Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
3,StepLength,omit_7_31,Speed,0.953803010194,0.0160993290528,0.922248905076,0.985357115313,0,246,0.907274043239,63.1224664534,-112.244932907,StepLength ~ AgeGroup + Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
4,StepLength,omit_7_31,Intercept,0.0525371305272,0.0484569392551,-0.0424367252139,0.147510986268,0.278275061476,246,0.891592171232,79.2721354337,-144.544270867,StepLength ~ Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
4,StepLength,omit_7_31,Speed,0.957393892352,0.0175645264243,0.922968053155,0.991819731549,0,246,0.891592171232,79.2721354337,-144.544270867,StepLength ~ Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
4,StepLength,omit_7_31,Speed2,-0.0622950998715,0.00880853456921,-0.0795595103837,-0.0450306893593,1.52573594323e-12,246,0.891592171232,79.2721354337,-144.544270867,StepLength ~ Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
5,StepLength,omit_7_31,Intercept,0.188815200916,0.0598732942711,0.071465700509,0.306164701323,0.00161281223401,246,0.907854245389,84.6074651176,-153.214930235,StepLength ~ AgeGroup + Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
5,StepLength,omit_7_31,AgeGroup,-0.279512908202,0.0822152509722,-0.440651839087,-0.118373977316,0.00067442664169,246,0.907854245389,84.6074651176,-153.214930235,StepLength ~ AgeGroup + Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
5,StepLength,omit_7_31,Speed,0.957438246603,0.0175613067191,0.923018717912,0.991857775294,0,246,0.907854245389,84.6074651176,-153.214930235,StepLength ~ AgeGroup + Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
5,StepLength,omit_7_31,Speed2,-0.0621820730637,0.00879200563437,-0.0794140874589,-0.0449500586684,1.52090495939e-12,246,0.907854245389,84.6074651176,-153.214930235,StepLength ~ AgeGroup + Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,omit_7_31,Intercept,0.126809976951,0.0611909503808,0.00687791802456,0.246742035877,0.0382314253853,246,0.9070910522,63.2114352188,-110.422870438,StepLength ~ AgeGroup * Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,omit_7_31,AgeGroup,-0.260809411126,0.0875956734638,-0.432493776316,-0.089125045935,0.00290682236747,246,0.9070910522,63.2114352188,-110.422870438,StepLength ~ AgeGroup * Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,omit_7_31,Speed,0.947192924679,0.0228608756052,0.902386431838,0.99199941752,0,246,0.9070910522,63.2114352188,-110.422870438,StepLength ~ AgeGroup * Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
6,StepLength,omit_7_31,AgeGroup:Speed,0.0133906939246,0.0325469204274,-0.0504000979208,0.07718148577,0.680759186779,246,0.9070910522,63.2114352188,-110.422870438,StepLength ~ AgeGroup * Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,omit_7_31,Intercept,0.178695146091,0.0617967012552,0.0575758372677,0.299814454915,0.00383210496915,246,0.907591304206,84.833337866,-151.666675732,StepLength ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,omit_7_31,AgeGroup,-0.25851244979,0.0878737461048,-0.430741827342,-0.0862830722382,0.00326245094546,246,0.907591304206,84.833337866,-151.666675732,StepLength ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,omit_7_31,Speed,0.945978121007,0.0248099614758,0.897351490056,0.994604751957,0,246,0.907591304206,84.833337866,-151.666675732,StepLength ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,omit_7_31,AgeGroup:Speed,0.023302897055,0.0354130879006,-0.0461054798115,0.0927112739216,0.510518439994,246,0.907591304206,84.833337866,-151.666675732,StepLength ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
7,StepLength,omit_7_31,Speed2,-0.0625081439813,0.00879267428468,-0.0797414689071,-0.0452748190556,1.16788315027e-12,246,0.907591304206,84.833337866,-151.666675732,StepLength ~ AgeGroup * Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1"
