model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula
7,H2A_M,full,Cadence,0.248957670031,0.265518977407,-0.288105154667,0.786020494728,0.354206895023,43,0.222979417228,-55.0842497969,118.168499594,H2A_M ~ AgeGroup * Cadence
7,H2A_M,full,AgeGroup:Cadence,0.0939491698049,0.320817718485,-0.554965916362,0.742864255972,0.771194781511,43,0.222979417228,-55.0842497969,118.168499594,H2A_M ~ AgeGroup * Cadence
8,H2A_M,full,Intercept,-0.243574352866,0.226626593507,-0.702763448552,0.21561474282,0.289431158061,43,0.230624136167,-54.8716745591,121.743349118,H2A_M ~ AgeGroup * StepLength + AgeGroup * Cadence
8,H2A_M,full,AgeGroup,0.484231535296,0.313866344606,-0.151722086542,1.12018515713,0.131390968372,43,0.230624136167,-54.8716745591,121.743349118,H2A_M ~ AgeGroup * StepLength + AgeGroup * Cadence
8,H2A_M,full,StepLength,-0.140129781454,0.299637763824,-0.747253560152,0.466993997244,0.642767828766,43,0.230624136167,-54.8716745591,121.743349118,H2A_M ~ AgeGroup * StepLength + AgeGroup * Cadence
8,H2A_M,full,AgeGroup:StepLength,0.00590786488663,0.459072428597,-0.924261229922,0.936076959695,0.989801341989,43,0.230624136167,-54.8716745591,121.743349118,H2A_M ~ AgeGroup * StepLength + AgeGroup * Cadence
8,H2A_M,full,Cadence,0.184229275084,0.304527170496,-0.432801382564,0.801259932731,0.548892676574,43,0.230624136167,-54.8716745591,121.743349118,H2A_M ~ AgeGroup * StepLength + AgeGroup * Cadence
8,H2A_M,full,AgeGroup:Cadence,0.0517770564047,0.450896830312,-0.861826702777,0.965380815587,0.90919977741,43,0.230624136167,-54.8716745591,121.743349118,H2A_M ~ AgeGroup * StepLength + AgeGroup * Cadence
9,H2A_I,full,Intercept,-0.382914615087,0.19809221971,-0.782969968717,0.0171407385418,0.0601612895451,43,0.15726295682,-56.8297947955,117.659589591,H2A_I ~ AgeGroup
9,H2A_I,full,AgeGroup,0.784063259465,0.283460141055,0.211603891117,1.35652262781,0.00846996787121,43,0.15726295682,-56.8297947955,117.659589591,H2A_I ~ AgeGroup
10,H2A_I,full,Intercept,-3.74700270811e-16,0.14246638556,-0.287716702549,0.287716702549,1,43,0.148023071459,-57.064240852,118.128481704,H2A_I ~ StepLength
