model,outcome,sample,role,formula,structure,scaling,estimator,converged,llf,aic,residual_variance,intercept_variance,slope_variance,intercept_slope_covariance,intercept_slope_correlation,min_eigenvalue,max_eigenvalue,covariance_positive_definite,eigenvalue_ratio,n,subjects
8,Cadence,full,RI sensitivity,Cadence ~ AgeGroup,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,-363.39162755,,0.946170600714,0.0192953795857,,,,0.0192953795857,0.0192953795857,True,1,258,43
9,Cadence,full,RI sensitivity,Cadence ~ Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,-42.6218001128,93.2436002256,0.0527775209617,0.110247643846,,,,0.110247643846,0.110247643846,True,1,258,43
9,Cadence,full,RI sensitivity,Cadence ~ Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,-47.9175785015,,0.0530221663772,0.113064403576,,,,0.113064403576,0.113064403576,True,1,258,43
9,Cadence,full,primary,Cadence ~ Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,-5.41649294945,22.8329858989,0.0257883337111,0.117035457459,0.0260812782616,0.00755789515538,0.136797354327,0.0254575277644,0.117659207956,True,0.216366642327,258,43
9,Cadence,full,primary,Cadence ~ Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,-10.1246927614,,0.0257840492701,0.119963899252,0.026836662631,0.007752536448,0.136632582393,0.0261957009567,0.120604860926,True,0.217202696106,258,43
10,Cadence,full,RI sensitivity,Cadence ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,-37.426794708,84.853589416,0.0527782445165,0.0846881219517,,,,0.0846881219517,0.0846881219517,True,1,258,43
10,Cadence,full,RI sensitivity,Cadence ~ AgeGroup + Speed,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,-44.2797206186,,0.0530217329831,0.0892377847783,,,,0.0892377847783,0.0892377847783,True,1,258,43
10,Cadence,full,primary,Cadence ~ AgeGroup + Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,0.510581773132,12.9788364537,0.0257915900893,0.0917208817775,0.0260650957983,0.0128109587415,0.262009995197,0.0236539305994,0.0941320469764,True,0.2512845663,258,43
10,Cadence,full,primary,Cadence ~ AgeGroup + Speed,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,-5.78488650216,,0.0257860682905,0.0963218233639,0.0268245182082,0.0131354298427,0.258413963005,0.0244247068457,0.0987216347264,True,0.247409870322,258,43
11,Cadence,full,RI sensitivity,Cadence ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,13.473998154,-16.9479963081,0.0313621212962,0.113023808416,,,,0.113023808416,0.113023808416,True,1,258,43
11,Cadence,full,RI sensitivity,Cadence ~ Speed + Speed2,random_intercept,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,4.35300660314,,0.0316556661553,0.115808487455,,,,0.115808487455,0.115808487455,True,1,258,43
11,Cadence,full,primary,Cadence ~ Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",ML,True,40.2561525711,-66.5123051423,0.0173909237542,0.118800611434,0.0145838447786,0.00603631557979,0.14501955967,0.0142353818533,0.119149074359,True,0.119475387702,258,43
11,Cadence,full,primary,Cadence ~ Speed + Speed2,correlated_random_intercept_speed_slope,"Speed and outcomes full-sample z scores, ddof=1; Speed2=squared z Speed; AgeGroup=0/1",REML,True,31.5874989056,,0.0174755316656,0.121723858039,0.0150639478237,0.00620741992846,0.144961899238,0.0147039022426,0.12208390362,True,0.120440957461,258,43
