model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula,covariance,inference,df_resid,scaling,structure
StepLengthHof_sex,H2A_M,full,Female,-0.338329690981,0.30209666653,-0.949377875344,0.272718493383,0.269589801879,43,0.290691565143,-53.1239576241,114.247915248,H2A_M ~ AgeGroup + StepLengthHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
cadence_sex_classical,H2A_I,full,Intercept,-0.0025098191524,0.21108934185,-0.429478314229,0.424458675924,0.990574116761,43,0.366293175513,-50.7008208845,109.401641769,H2A_I ~ AgeGroup + Cadence + Female,nonrobust,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_classical,H2A_I,full,AgeGroup,0.551857913549,0.266156821544,0.013504927306,1.09021089979,0.0447837785414,43,0.366293175513,-50.7008208845,109.401641769,H2A_I ~ AgeGroup + Cadence + Female,nonrobust,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_classical,H2A_I,full,Cadence,0.435226465942,0.139459698281,0.153142600519,0.717310331366,0.00338857153489,43,0.366293175513,-50.7008208845,109.401641769,H2A_I ~ AgeGroup + Cadence + Female,nonrobust,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_classical,H2A_I,full,Female,-0.675358468293,0.267590812174,-1.21661197436,-0.134104962222,0.0157916686296,43,0.366293175513,-50.7008208845,109.401641769,H2A_I ~ AgeGroup + Cadence + Female,nonrobust,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_hc3,H2A_I,full,Intercept,-0.0025098191524,0.163173365551,-0.332559104044,0.327539465739,0.987806397823,43,0.366293175513,-50.7008208845,109.401641769,H2A_I ~ AgeGroup + Cadence + Female,HC3,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_hc3,H2A_I,full,AgeGroup,0.551857913549,0.280980626761,-0.0164790489074,1.12019487601,0.0566812019207,43,0.366293175513,-50.7008208845,109.401641769,H2A_I ~ AgeGroup + Cadence + Female,HC3,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_hc3,H2A_I,full,Cadence,0.435226465942,0.125817250692,0.180737055383,0.689715876502,0.00132572384028,43,0.366293175513,-50.7008208845,109.401641769,H2A_I ~ AgeGroup + Cadence + Female,HC3,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_hc3,H2A_I,full,Female,-0.675358468293,0.290419774899,-1.26278790998,-0.0879290266059,0.0253409290367,43,0.366293175513,-50.7008208845,109.401641769,H2A_I ~ AgeGroup + Cadence + Female,HC3,"Student t, residual degrees of freedom",39,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_height,H2A_I,full,Intercept,0.157849946516,0.255502202187,-0.359387220458,0.675087113491,0.540390515905,43,0.386095710041,-50.0182520191,110.036504038,H2A_I ~ AgeGroup + Cadence + Female + Height,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
