model,outcome,sample,role,formula,structure,scaling,estimator,converged,llf,aic,residual_variance,intercept_variance,slope_variance,intercept_slope_covariance,intercept_slope_correlation,min_eigenvalue,max_eigenvalue,covariance_positive_definite,eigenvalue_ratio,n,subjects
hof_dimensionless_speed_no_age,CadenceHof,full,body-size sensitivity,CadenceHof ~ SpeedHof + I(SpeedHof ** 2),correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,REML,True,649.753825317,,0.000158885411999,0.00228753940744,0.00635911774381,-0.00306357864568,-0.803241814056,0.000645020315632,0.00800163683562,True,0.080611046075,258,43
hof_dimensionless_speed_additive,CadenceHof,full,body-size sensitivity,CadenceHof ~ AgeGroup + SpeedHof + I(SpeedHof ** 2),correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,ML,True,660.577792002,-1305.155584,0.000158110749931,0.00200649328811,0.00615385918054,-0.0027734112254,-0.78926280454,0.000617233730239,0.00754311873841,True,0.0818273915133,258,43
hof_dimensionless_speed_additive,CadenceHof,full,body-size sensitivity,CadenceHof ~ AgeGroup + SpeedHof + I(SpeedHof ** 2),correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,REML,True,647.148837556,,0.000158879895472,0.00208403264943,0.00637770741688,-0.00286610734144,-0.786154485048,0.000649881057351,0.00781185900896,True,0.08319160095,258,43
hof_dimensionless_speed_interaction,CadenceHof,full,body-size sensitivity,CadenceHof ~ AgeGroup * SpeedHof + I(SpeedHof ** 2),correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,ML,True,662.642174225,-1307.28434845,0.00015823737569,0.00187455395488,0.00536940264116,-0.0024526075665,-0.773065167011,0.000610537494972,0.00663341910107,True,0.0920396383328,258,43
hof_dimensionless_speed_interaction,CadenceHof,full,body-size sensitivity,CadenceHof ~ AgeGroup * SpeedHof + I(SpeedHof ** 2),correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed,REML,True,646.471465467,,0.000158926841994,0.00198319006553,0.00577796466373,-0.00262092654717,-0.774257177294,0.000644942260289,0.00711621246897,True,0.0906299893519,258,43
leg_length_covariate_no_age,StepLength,full,body-size sensitivity,StepLength ~ Speed + I(Speed ** 2) + LegLength,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length",ML,True,637.066634422,-1258.13326884,0.000184899821446,0.00231030860817,0.00132063931202,-0.00143826127854,-0.82339965318,0.000294468754884,0.0033364791653,True,0.0882573336428,258,43
leg_length_covariate_no_age,StepLength,full,body-size sensitivity,StepLength ~ Speed + I(Speed ** 2) + LegLength,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length",REML,True,622.731236345,,0.00018582322307,0.00239642120637,0.00136370682192,-0.00148381379846,-0.820799950987,0.000308972629644,0.00345115539865,True,0.0895273014265,258,43
leg_length_covariate_additive,StepLength,full,body-size sensitivity,StepLength ~ AgeGroup + Speed + I(Speed ** 2) + LegLength,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length",ML,True,641.127356508,-1264.25471302,0.000185091538387,0.00183733780279,0.00131684593621,-0.00126989842413,-0.816407517429,0.00028080102505,0.00287338271395,True,0.0977248953599,258,43
leg_length_covariate_additive,StepLength,full,body-size sensitivity,StepLength ~ AgeGroup + Speed + I(Speed ** 2) + LegLength,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length",REML,True,622.710829618,,0.000185992639193,0.0019262288895,0.00136027168804,-0.00131179535836,-0.810399779759,0.000301280113731,0.00298522046381,True,0.100923907424,258,43
leg_length_covariate_interaction,StepLength,full,body-size sensitivity,StepLength ~ AgeGroup * Speed + I(Speed ** 2) + LegLength,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length",ML,True,641.331590298,-1262.6631806,0.000185027860504,0.00182482701992,0.00130222694184,-0.00125602578519,-0.814787514971,0.000280609024235,0.00284644493752,True,0.09858227733,258,43
leg_length_covariate_interaction,StepLength,full,body-size sensitivity,StepLength ~ AgeGroup * Speed + I(Speed ** 2) + LegLength,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length",REML,True,619.447472652,,0.000185875919709,0.00195279606894,0.001387667602,-0.00133839459837,-0.813042044497,0.000302334673042,0.0030381289979,True,0.0995134417438,258,43
leg_length_covariate_no_age,Cadence,full,body-size sensitivity,Cadence ~ Speed + I(Speed ** 2) + LegLength,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length",ML,True,-715.378091604,1446.75618321,6.46980330948,104.071890676,46.6283585711,-59.2441072575,-0.850458984519,9.51089551261,141.189353734,True,0.0673626959899,258,43
leg_length_covariate_no_age,Cadence,full,body-size sensitivity,Cadence ~ Speed + I(Speed ** 2) + LegLength,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length",REML,True,-708.669206883,,6.50070620099,107.75061911,48.1905359372,-61.0894981958,-0.847765604744,10.0089878813,145.932167166,True,0.0685865774197,258,43
leg_length_covariate_additive,Cadence,full,body-size sensitivity,Cadence ~ AgeGroup + Speed + I(Speed ** 2) + LegLength,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length",ML,True,-711.927354324,1441.85470865,6.47632740911,81.6603576295,46.5694727133,-51.4492362453,-0.834300748132,9.75623176865,118.473598574,True,0.0823494169678,258,43
leg_length_covariate_additive,Cadence,full,body-size sensitivity,Cadence ~ AgeGroup + Speed + I(Speed ** 2) + LegLength,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length",REML,True,-703.963637335,,6.50736875913,85.4307740416,48.1321757412,-53.1315021426,-0.828566131365,10.4720362623,123.09091352,True,0.0850756238852,258,43
leg_length_covariate_interaction,Cadence,full,body-size sensitivity,Cadence ~ AgeGroup * Speed + I(Speed ** 2) + LegLength,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length",ML,True,-711.279998851,1442.5599977,6.4748942997,79.7713000784,44.8376184289,-49.6209863821,-0.829699426024,9.69901449806,114.909904009,True,0.0844053833452,258,43
leg_length_covariate_interaction,Cadence,full,body-size sensitivity,Cadence ~ AgeGroup * Speed + I(Speed ** 2) + LegLength,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length",REML,True,-701.569776306,,6.50283479653,85.189589733,47.8583036109,-52.8493838312,-0.827690584082,10.4751857381,122.572707606,True,0.0854609965196,258,43
